"Input","Target"
" what movies are about ginger rogers","	Top Hat, Kitty Foyle, The Barkleys of Broadway"
" which movies can be described by moore","	Fahrenheit 9/11, Far from Heaven, Moonstruck"
" what films can be described by occupation","	Red Dawn, The Sorrow and the Pity, The Teahouse of the August Moon"
" which films are about jacques tati","	Mon Oncle, Playtime, Trafic"
" which movies can be described by battle of wits","	Sleuth, The Great Mouse Detective, The Adventures of Sherlock Holmes, Sherlock Holmes and the Secret Weapon"
" what movies are about donnie darko","	S. Darko"
" which films are about 03/15","	Harmontown"
" what movies can be described with ben stiller","	Tropic Thunder, Meet the Parents, There's Something About Mary, Madagascar, The Secret Life of Walter Mitty, Night at the Museum, Meet the Fockers, The Royal Tenenbaums, Zoolander, The Cable Guy, Tower Heist, Along Came Polly, Little Fockers, The Heartbreak Kid, Keeping the Faith, Duplex, Reality Bites, Greenberg, Envy, Flirting with Disaster, Zero Effect"
" which movies are about affleck was the bomb in phantoms!","	Phantoms"
" which films are about contrived plot","	Monsters vs. Aliens, Raging Phoenix"
" which films are about street race","	The Fast and the Furious, 2 Fast 2 Furious, American Graffiti, The Gumball Rally"
" what films are about dillinger","	Public Enemies"
" which movies can be described by tales","	Hoodwinked!"
" what films can be described by religious oppression","	Donnie Darko, Son of Rambow, Latter Days, Yentl, Matador"
" what films are about original story","	End of Watch, Arbitrage, Everything Must Go, Cedar Rapids"
" what movies can be described by science","	The Matrix, Avatar, The Prestige, Gravity, Jurassic Park, Prometheus, Moon, Apollo 13, Contact, The Theory of Everything, Megamind, Twister, Deep Impact, The Painted Veil, Frankenweenie, Primer, October Sky, The Saint, I Origins, Kinsey, Proof, Roxanne, Bandidas, Autómata, The Lawnmower Man, Real Genius, Inherit the Wind, Temple Grandin, Extraordinary Measures, Creation, Winged Migration, Monkey Business, Never Cry Wolf, Demon Seed, Fed Up, The Unbelievers, Einstein and Eddington, Hawking, A Brief History of Time, The Killer Shrews, Dark Matter, Madame Curie, Infinity, The Story of Louis Pasteur, The Enemies of Reason, Dr. Ehrlich's Magic Bullet, Living Proof, Galileo"
" which films can be described by playboy","	Iron Man, The Talented Mr. Ripley, Charlie Wilson's War"
" what movies can be described with chris noonan","	Babe, Miss Potter"
" which movies are about horrors of war","	Saving Private Ryan, Platoon, Pearl Harbor, Grave of the Fireflies"
" what movies can be described by rookie cops","	The Silence of the Lambs, Stray Dog"
" what movies are about rod lurie","	The Last Castle, The Contender, Resurrecting the Champ"
" which movies are about originality","	Memento, Open Water"
" which movies can be described by 60s horror","	Repulsion, The Masque of the Red Death"
